timestamp,ego_x,ego_y,ego_theta,npc_x,npc_y,npc_theta,throttle,brake,steering
98,98,98,98,98,98,98,98,98,98
81,81,81,81,81,81,81,81,81,81
63,63,63,63,63,63,63,63,63,63
77,77,77,77,77,77,77,77,77,77
50,50,50,50,50,50,50,50,50,50
57,57,57,57,57,57,57,57,57,57
77,77,77,77,77,77,77,77,77,77
50,50,50,50,50,50,50,50,50,50
73,73,73,73,73,73,73,73,73,73
47,47,47,47,47,47,47,47,47,47
44,44,44,44,44,44,44,44,44,44
36,36,36,36,36,36,36,36,36,36
50,50,50,50,50,50,50,50,50,50
64,64,64,64,64,64,64,64,64,64
78,78,78,78,78,78,78,78,78,78
74,74,74,74,74,74,74,74,74,74
43,43,43,43,43,43,43,43,43,43
55,55,55,55,55,55,55,55,55,55
53,53,53,53,53,53,53,53,53,53
57,57,57,57,57,57,57,57,57,57
43,43,43,43,43,43,43,43,43,43
